decoding_method,language,BLEU,chrF,COMET,n,llm_wins,anchor_wins,llm_win_rate
Greedy,npi,7.54,50.07,80.1,1012,1012,0,1.0
Greedy,ben,16.39,39.92,80.72,1012,1012,0,1.0
Greedy,sin,10.33,25.86,69.22,1012,1012,0,1.0
Greedy,mya,10.68,24.32,64.05,1012,1012,0,1.0
Greedy,kor,21.41,30.11,87.32,1012,1012,0,1.0
Greedy,tam,14.22,40.97,77.82,1012,1012,0,1.0
Greedy,hin,16.12,53.33,77.4,1012,1012,0,1.0
Greedy,fra,49.78,68.5,87.44,1012,1012,0,1.0
Beam Search (k=4),npi,7.54,50.37,80.65,1012,1012,0,1.0
Beam Search (k=4),ben,7.76,41.5,81.67,1012,1012,0,1.0
Beam Search (k=4),sin,8.91,27.82,72.62,1012,1012,0,1.0
Beam Search (k=4),mya,10.68,26.73,68.34,1012,1012,0,1.0
Beam Search (k=4),kor,23.46,27.92,84.86,1012,1012,0,1.0
Beam Search (k=4),tam,8.82,42.05,78.6,1012,1012,0,1.0
Beam Search (k=4),hin,16.12,54.3,78.28,1012,1012,0,1.0
Beam Search (k=4),fra,41.39,70.1,88.11,1012,1012,0,1.0
Beam Search (k=8),npi,7.97,50.15,80.69,1012,1012,0,1.0
Beam Search (k=8),ben,10.88,41.79,81.89,1012,1012,0,1.0
Beam Search (k=8),sin,10.59,28.04,72.57,1012,1012,0,1.0
Beam Search (k=8),mya,10.68,27.22,69.11,1012,1012,0,1.0
Beam Search (k=8),kor,20.24,20.22,79.19,1012,1012,0,1.0
Beam Search (k=8),tam,8.82,42.12,78.78,1012,1012,0,1.0
Beam Search (k=8),hin,16.12,54.27,78.36,1012,1012,0,1.0
Beam Search (k=8),fra,51.02,70.3,88.03,1012,1012,0,1.0
MBR (k=3),npi,9.79,49.21,79.97,1012,1012,0,1.0
MBR (k=3),ben,18.76,37.8,79.54,1012,1012,0,1.0
MBR (k=3),sin,21.04,25.08,67.87,1012,1012,0,1.0
MBR (k=3),mya,7.81,23.01,62.32,1012,1012,0,1.0
MBR (k=3),kor,17.61,28.87,86.95,1012,1012,0,1.0
MBR (k=3),tam,28.48,39.11,76.99,1012,1012,0,1.0
MBR (k=3),hin,15.33,51.75,76.75,1012,1012,0,1.0
MBR (k=3),fra,51.02,66.63,87.22,1012,1012,0,1.0
MBR (k=5),npi,7.54,49.77,80.19,1012,1012,0,1.0
MBR (k=5),ben,13.17,38.62,80.24,1012,1012,0,1.0
MBR (k=5),sin,6.92,25.16,67.74,1012,1012,0,1.0
MBR (k=5),mya,12.7,23.01,62.18,1012,1012,0,1.0
MBR (k=5),kor,12.55,29.19,87.8,1012,1012,0,1.0
MBR (k=5),tam,11.48,39.72,77.15,1012,1012,0,1.0
MBR (k=5),hin,16.12,52.26,77.04,1012,1012,0,1.0
MBR (k=5),fra,63.04,67.38,87.29,1012,1012,0,1.0
MBR (k=10),npi,8.64,50.24,80.68,1012,1012,0,1.0
MBR (k=10),ben,12.88,39.12,80.36,1012,1012,0,1.0
MBR (k=10),sin,21.87,25.11,67.58,1012,1012,0,1.0
MBR (k=10),mya,12.7,22.96,62.09,1012,1012,0,1.0
MBR (k=10),kor,8.77,30.35,88.22,1012,1012,0,1.0
MBR (k=10),tam,7.83,40.24,77.07,1012,1012,0,1.0
MBR (k=10),hin,15.33,52.67,77.32,1012,1012,0,1.0
MBR (k=10),fra,36.08,67.93,87.56,1012,1012,0,1.0
MBR (k=20),npi,9.96,50.27,80.71,1012,1012,0,1.0
MBR (k=20),ben,14.17,39.64,80.64,1012,1012,0,1.0
MBR (k=20),sin,18.39,25.24,67.74,1012,1012,0,1.0
MBR (k=20),mya,12.7,23.05,62.1,1012,1012,0,1.0
MBR (k=20),kor,19.89,30.6,88.3,1012,1012,0,1.0
MBR (k=20),tam,9.36,40.35,77.48,1012,1012,0,1.0
MBR (k=20),hin,16.12,53.11,77.4,1012,1012,0,1.0
MBR (k=20),fra,41.39,68.22,87.51,1012,1012,0,1.0
