language,language_name,metric,target,baseline,target_mean,baseline_mean,mean_diff,std_diff,ci_lower,ci_upper,p_value,significance,n,n_bootstrap
npi,Nepali,BLEU,EchoRefine_Hybrid,mBART,11.6707,11.2327,0.4379,4.9176,0.1594,0.7685,0.002,**,1012,1000
npi,Nepali,BLEU,EchoRefine_Hybrid,Llama_ZS,11.6707,9.6796,1.9911,9.3142,1.3922,2.5733,0.0,***,1012,1000
npi,Nepali,BLEU,EchoRefine_Hybrid,Llama_Direct,11.6707,10.334,1.3366,9.245,0.7367,1.9088,0.0,***,1012,1000
npi,Nepali,BLEU,EchoRefine_Hybrid,EchoRefine_Raw,11.6707,11.3876,0.2831,5.1257,-0.0413,0.5807,0.078,,1012,1000
npi,Nepali,CHRF,EchoRefine_Hybrid,mBART,49.8513,47.9272,1.9241,7.8196,1.4693,2.4429,0.0,***,1012,1000
npi,Nepali,CHRF,EchoRefine_Hybrid,Llama_ZS,49.8513,45.9566,3.8946,10.9208,3.2291,4.5799,0.0,***,1012,1000
npi,Nepali,CHRF,EchoRefine_Hybrid,Llama_Direct,49.8513,47.224,2.6273,11.4768,1.8548,3.3505,0.0,***,1012,1000
npi,Nepali,CHRF,EchoRefine_Hybrid,EchoRefine_Raw,49.8513,49.515,0.3363,5.6169,-0.004,0.7018,0.056,,1012,1000
ben,Bengali,BLEU,EchoRefine_Hybrid,mBART,7.7334,1.9988,5.7347,7.5632,5.2646,6.2023,0.0,***,1012,1000
ben,Bengali,BLEU,EchoRefine_Hybrid,Llama_ZS,7.7334,14.8198,-7.0864,10.7834,-7.7515,-6.47,0.0,***,1012,1000
ben,Bengali,BLEU,EchoRefine_Hybrid,Llama_Direct,7.7334,11.1748,-3.4414,8.1271,-3.934,-2.9732,0.0,***,1012,1000
ben,Bengali,BLEU,EchoRefine_Hybrid,EchoRefine_Raw,7.7334,8.6158,-0.8824,3.1247,-1.0755,-0.7114,0.0,***,1012,1000
ben,Bengali,CHRF,EchoRefine_Hybrid,mBART,39.752,31.4265,8.3255,12.7681,7.5312,9.1346,0.0,***,1012,1000
ben,Bengali,CHRF,EchoRefine_Hybrid,Llama_ZS,39.752,49.9725,-10.2205,11.1839,-10.891,-9.5174,0.0,***,1012,1000
ben,Bengali,CHRF,EchoRefine_Hybrid,Llama_Direct,39.752,45.0068,-5.2548,10.6016,-5.8575,-4.5981,0.0,***,1012,1000
