language,system,BLEU,chrF,COMET
npi,mBART,8.16,48.15,79.0
npi,Llama_ZS,8.16,45.98,77.7
npi,Llama_Direct,9.13,47.4,77.42
npi,EchoRefine_Raw,7.83,49.67,80.16
npi,EchoRefine_Hybrid,8.16,50.07,81.28
ben,mBART,6.01,31.72,55.03
ben,Llama_ZS,16.85,49.85,85.36
ben,Llama_Direct,15.15,44.93,84.08
ben,EchoRefine_Raw,20.29,38.46,80.05
ben,EchoRefine_Hybrid,20.29,38.74,77.34
sin,mBART,9.51,28.01,77.21
sin,Llama_ZS,11.29,31.88,72.39
sin,Llama_Direct,10.58,31.83,75.15
sin,EchoRefine_Raw,12.87,25.01,67.49
sin,EchoRefine_Hybrid,9.51,30.13,78.75
mya,mBART,1.97,49.38,86.54
mya,Llama_ZS,3.75,27.28,63.16
mya,Llama_Direct,14.32,31.64,75.06
mya,EchoRefine_Raw,8.12,22.99,62.0
mya,EchoRefine_Hybrid,1.97,49.37,86.51
kor,mBART,20.69,29.93,85.73
kor,Llama_ZS,10.59,34.49,88.13
kor,Llama_Direct,8.77,29.82,86.76
kor,EchoRefine_Raw,11.21,29.41,87.57
kor,EchoRefine_Hybrid,11.21,31.3,88.18
tam,mBART,5.2,47.73,84.48
tam,Llama_ZS,14.75,51.46,85.33
tam,Llama_Direct,31.55,50.03,82.87
tam,EchoRefine_Raw,27.98,39.74,77.19
tam,EchoRefine_Hybrid,5.2,48.88,85.66
hin,mBART,15.33,47.41,76.37
hin,Llama_ZS,15.41,56.11,79.99
hin,Llama_Direct,13.92,53.63,76.57
hin,EchoRefine_Raw,16.12,52.18,77.08
hin,EchoRefine_Hybrid,16.12,50.88,78.97
fra,mBART,51.99,66.06,85.62
fra,Llama_ZS,53.1,69.48,86.5
fra,Llama_Direct,51.02,68.09,87.0
fra,EchoRefine_Raw,46.3,67.05,87.24
fra,EchoRefine_Hybrid,51.99,68.06,87.89
