threshold,language,BLEU,chrF,COMET,n,llm_wins,anchor_wins,llm_win_rate
0.0 (always LLM),npi,7.54,49.77,80.19,1012,1012,0,1.0
0.0 (always LLM),ben,13.17,38.62,80.24,1012,1012,0,1.0
0.0 (always LLM),sin,6.92,25.16,67.74,1012,1012,0,1.0
0.0 (always LLM),mya,12.7,23.01,62.18,1012,1012,0,1.0
0.0 (always LLM),kor,12.55,29.19,87.8,1012,1012,0,1.0
0.0 (always LLM),tam,11.48,39.72,77.15,1012,1012,0,1.0
0.0 (always LLM),hin,16.12,52.26,77.04,1012,1012,0,1.0
0.0 (always LLM),fra,63.04,67.38,87.29,1012,1012,0,1.0
0.1,npi,8.16,49.16,80.02,1012,58,954,0.0573
0.1,ben,13.17,37.05,70.11,1012,483,529,0.4773
0.1,sin,9.51,29.61,78.65,1012,90,922,0.0889
0.1,mya,1.97,49.41,86.56,1012,1,1011,0.001
0.1,kor,20.69,30.27,86.63,1012,69,943,0.0682
0.1,tam,5.2,48.69,85.4,1012,62,950,0.0613
0.1,hin,15.33,47.99,77.08,1012,53,959,0.0524
0.1,fra,51.99,66.57,86.42,1012,63,949,0.0623
0.2,npi,8.16,49.03,79.77,1012,30,982,0.0296
0.2,ben,13.17,34.97,62.92,1012,229,783,0.2263
0.2,sin,9.51,28.99,78.13,1012,51,961,0.0504
0.2,mya,1.97,49.41,86.56,1012,1,1011,0.001
0.2,kor,20.69,30.09,86.11,1012,17,995,0.0168
0.2,tam,5.2,48.38,85.13,1012,30,982,0.0296
0.2,hin,15.33,47.65,76.61,1012,9,1003,0.0089
0.2,fra,51.99,66.26,85.88,1012,16,996,0.0158
0.3,npi,8.16,48.9,79.59,1012,19,993,0.0188
0.3,ben,6.59,33.41,58.58,1012,93,919,0.0919
0.3,sin,9.51,28.41,77.69,1012,19,993,0.0188
0.3,mya,1.97,49.41,86.56,1012,1,1011,0.001
0.3,kor,20.69,29.99,85.89,1012,4,1008,0.004
0.3,tam,5.2,48.08,84.83,1012,13,999,0.0128
0.3,hin,15.33,47.62,76.55,1012,5,1007,0.0049
0.3,fra,51.99,66.14,85.66,1012,2,1010,0.002
0.5 (always anchor),npi,8.16,48.1,78.94,1012,0,1012,0.0
0.5 (always anchor),ben,6.59,31.75,55.02,1012,0,1012,0.0
0.5 (always anchor),sin,9.51,27.99,77.18,1012,0,1012,0.0
0.5 (always anchor),mya,1.97,49.39,86.55,1012,0,1012,0.0
0.5 (always anchor),kor,20.69,29.93,85.73,1012,0,1012,0.0
0.5 (always anchor),tam,5.2,47.76,84.51,1012,0,1012,0.0
0.5 (always anchor),hin,15.33,47.38,76.41,1012,0,1012,0.0
0.5 (always anchor),fra,51.99,66.08,85.62,1012,0,1012,0.0
